Year,GDPGrowthRate
1980,-0.256775732
1981,2.537701267
1982,-1.803013788
1983,4.583790986
1984,7.236453159
1985,4.169575347
1986,3.462655053
1987,3.454629665
1988,4.176982398
1989,3.672237836
1990,1.885965585
1991,-0.108312889
1992,3.522497184
1993,2.751795862
1994,4.029022729
1995,2.684430735
1996,3.772772686
1997,4.447127942
1998,4.483133346
1999,4.788425053
2000,4.077585758
2001,0.955538346
2002,1.700447324
2003,2.795605966
2004,3.847771692
2005,3.483549938
2006,2.784539639
2007,2.003858298
2008,0.113587248
2009,-2.576500234
2010,2.695192584
2011,1.564406854
2012,2.289113388
2013,2.117830099
2014,2.523819814
2015,2.945550455
2016,1.819451475
2017,2.457622303
2018,2.966505069
2019,2.58382533
2020,-2.163029139
2021,6.055052933
2022,2.51237532
2023,2.887556009
